from,until,context_bool,context_cat,n_conf,perc_conf,sort
2021-01-04,2021-09-26,Eindeutig,Eigener Haushalt,9681,18.6,1
2021-01-04,2021-09-26,Eindeutig,Im Haushalt von Freunden / Familie,3427,6.6,2
2021-01-04,2021-09-26,Eindeutig,Arbeitsplatz,2892,5.5,3
2021-01-04,2021-09-26,Eindeutig,Sekundarstufe II / Hochschule / Weiterbildungsstätte,75,0.1,4
2021-01-04,2021-09-26,Eindeutig,Obligatorische Schule,442,0.8,5
2021-01-04,2021-09-26,Eindeutig,Krippe,124,0.2,6
2021-01-04,2021-09-26,Eindeutig,Armee / Zivilschutz,33,0.1,7
2021-01-04,2021-09-26,Eindeutig,Reise Ausland,535,1,8
2021-01-04,2021-09-26,Eindeutig,Reise Schweiz,210,0.4,9
2021-01-04,2021-09-26,Eindeutig,Hotel oder andere Unterkunft,89,0.2,10
2021-01-04,2021-09-26,Eindeutig,Club / Bar,21,0,12
2021-01-04,2021-09-26,Eindeutig,Restaurant,13,0,13
2021-01-04,2021-09-26,Eindeutig,Kino / Theater / Konzert,5,0,14
2021-01-04,2021-09-26,Eindeutig,Veranstaltung / Feier < 300 Pers.,63,0.1,15
2021-01-04,2021-09-26,Eindeutig,Religiöses / Beerdigungen,14,0,17
2021-01-04,2021-09-26,Eindeutig,Verein,17,0,18
2021-01-04,2021-09-26,Eindeutig,Pflege- / Altersheim,925,1.8,19
2021-01-04,2021-09-26,Eindeutig,Medizin. Einrichtung,103,0.2,20
2021-01-04,2021-09-26,Eindeutig,Friseur / Massage o.ä.,13,0,21
2021-01-04,2021-09-26,Eindeutig,Sport in der Halle,63,0.1,22
2021-01-04,2021-09-26,Eindeutig,Sport im Freien,75,0.1,23
2021-01-04,2021-09-26,Eindeutig,Einkaufen (Läden/Markt),204,0.4,26
2021-01-04,2021-09-26,Eindeutig,Sonstige,2305,4.4,27
2021-01-04,2021-09-26,Eindeutig,Ohne Angabe,2,0,28
2021-01-04,2021-09-26,Vermutet,Eigener Haushalt,1993,3.8,1
2021-01-04,2021-09-26,Vermutet,Im Haushalt von Freunden / Familie,971,1.9,2
2021-01-04,2021-09-26,Vermutet,Arbeitsplatz,1922,3.7,3
2021-01-04,2021-09-26,Vermutet,Sekundarstufe II / Hochschule / Weiterbildungsstätte,46,0.1,4
2021-01-04,2021-09-26,Vermutet,Obligatorische Schule,296,0.6,5
2021-01-04,2021-09-26,Vermutet,Krippe,37,0.1,6
2021-01-04,2021-09-26,Vermutet,Armee / Zivilschutz,13,0,7
2021-01-04,2021-09-26,Vermutet,Reise Ausland,1057,2,8
2021-01-04,2021-09-26,Vermutet,Reise Schweiz,651,1.2,9
2021-01-04,2021-09-26,Vermutet,Hotel oder andere Unterkunft,73,0.1,10
2021-01-04,2021-09-26,Vermutet,Club / Bar,68,0.1,12
2021-01-04,2021-09-26,Vermutet,Restaurant,46,0.1,13
2021-01-04,2021-09-26,Vermutet,Kino / Theater / Konzert,9,0,14
2021-01-04,2021-09-26,Vermutet,Veranstaltung / Feier < 300 Pers.,105,0.2,15
2021-01-04,2021-09-26,Vermutet,Religiöses / Beerdigungen,5,0,17
2021-01-04,2021-09-26,Vermutet,Verein,15,0,18
2021-01-04,2021-09-26,Vermutet,Pflege- / Altersheim,16,0,19
2021-01-04,2021-09-26,Vermutet,Medizin. Einrichtung,88,0.2,20
2021-01-04,2021-09-26,Vermutet,Friseur / Massage o.ä.,11,0,21
2021-01-04,2021-09-26,Vermutet,Sport in der Halle,75,0.1,22
2021-01-04,2021-09-26,Vermutet,Sport im Freien,96,0.2,23
2021-01-04,2021-09-26,Vermutet,Einkaufen (Läden/Markt),616,1.2,26
2021-01-04,2021-09-26,Vermutet,Sonstige,2929,5.6,27
2021-01-04,2021-09-26,Vermutet,Ohne Angabe,19646,37.7,28
